Question,Answer,Tags
Threat intelligence (microsoft sentinel fundamentals),"TAXII, MDTI, Threat Intelligence Platforms","notes,microsoft-sentinel-fundamentals"
Custom (microsoft sentinel fundamentals),"REST API, Logstash, Logic Apps, Codeless Connector Framework (CCF)","notes,microsoft-sentinel-fundamentals"
Data sources (microsoft sentinel fundamentals),"Windows event logs (XPath), performance counters, syslog facilities, custom text logs","notes,microsoft-sentinel-fundamentals"
Streams (microsoft sentinel fundamentals),Named output streams matching destination tables,"notes,microsoft-sentinel-fundamentals"
Destinations (microsoft sentinel fundamentals),Log Analytics workspace(s),"notes,microsoft-sentinel-fundamentals"
Transformations (microsoft sentinel fundamentals),KQL transformKql to filter or shape data at ingest time,"notes,microsoft-sentinel-fundamentals"
Microsoft Sentinel Reader (microsoft sentinel fundamentals),"View incidents, workbooks, data","notes,microsoft-sentinel-fundamentals"
Microsoft Sentinel Responder (microsoft sentinel fundamentals),All Reader + manage incidents,"notes,microsoft-sentinel-fundamentals"
Microsoft Sentinel Contributor (microsoft sentinel fundamentals),All Responder + create/edit content,"notes,microsoft-sentinel-fundamentals"
Microsoft Sentinel Automation Contributor (microsoft sentinel fundamentals),Create/edit playbooks,"notes,microsoft-sentinel-fundamentals"
Logic App Contributor (microsoft sentinel fundamentals),Required to author playbooks themselves,"notes,microsoft-sentinel-fundamentals"
Attack story (incident investigation and response),timeline + visual graph of related entities,"notes,incident-investigation-and-response"
Alerts (incident investigation and response),constituent alerts grouped into the incident,"notes,incident-investigation-and-response"
Assets (incident investigation and response),"affected devices, mailboxes, identities, apps","notes,incident-investigation-and-response"
Investigations (incident investigation and response),AIR runs related to this incident,"notes,incident-investigation-and-response"
Evidence and response (incident investigation and response),"files, processes, IPs, URLs with verdicts and actions taken","notes,incident-investigation-and-response"
Summary (incident investigation and response),"severity, status, classification, owner, tags","notes,incident-investigation-and-response"
Comments and history (incident investigation and response),audit trail of analyst actions,"notes,incident-investigation-and-response"
Investigation graph (incident investigation and response),opens for incidents with mapped entities; pivot to expand related logs,"notes,incident-investigation-and-response"
Entity insights pages (incident investigation and response),"account, host, IP, mailbox detail pages with anomalies and timelines","notes,incident-investigation-and-response"
Bookmarks (incident investigation and response),hunting findings attached to incident,"notes,incident-investigation-and-response"
Tasks (incident investigation and response),per-incident checklist (preview/GA depending on tenant),"notes,incident-investigation-and-response"
Notebooks (incident investigation and response),launch Jupyter for advanced analysis,"notes,incident-investigation-and-response"
Microsoft Sentinel incident (incident investigation and response),fires on incident create/update via automation rule,"notes,incident-investigation-and-response"
Microsoft Sentinel entity (incident investigation and response),manual run from entity page,"notes,incident-investigation-and-response"
OAuth user delegation (incident investigation and response),for connectors that require user context,"notes,incident-investigation-and-response"
Pending (incident investigation and response),actions awaiting analyst approval (semi-auto AIR results),"notes,incident-investigation-and-response"
History (incident investigation and response),"all completed actions with revert option for some (e.g., release quarantined file)","notes,incident-investigation-and-response"
Email entity page (incident investigation and response),"full email detail with headers, URLs, attachments, delivery actions","notes,incident-investigation-and-response"
Submissions (incident investigation and response),report missed phishing or false positives to Microsoft,"notes,incident-investigation-and-response"
Quarantine (incident investigation and response),manage held messages,"notes,incident-investigation-and-response"
Attack simulation training (incident investigation and response),phishing simulations and training assignments,"notes,incident-investigation-and-response"
Attack path analysis (defender for cloud and endpoint),"Visualizes chains of misconfigurations that attackers could exploit (e.g., public VM with high-sev vuln + identity with admin role + access to KV with secrets)","notes,defender-for-cloud-and-endpoint"
Cloud security explorer (defender for cloud and endpoint),"Custom queries against the graph (e.g., ""Internet-exposed VMs with critical CVEs and managed identities with subscription-owner role"")","notes,defender-for-cloud-and-endpoint"
Group Policy (defender for cloud and endpoint),on-prem Windows,"notes,defender-for-cloud-and-endpoint"
Microsoft Intune (MEM) (defender for cloud and endpoint),"cloud-managed Windows, macOS, iOS, Android, Linux","notes,defender-for-cloud-and-endpoint"
VDI (defender for cloud and endpoint),non-persistent VMs with VDI onboarding,"notes,defender-for-cloud-and-endpoint"
Server via Defender for Cloud (defender for cloud and endpoint),automatic for Azure Arc / Defender for Servers,"notes,defender-for-cloud-and-endpoint"
"macOS, Linux (defender for cloud and endpoint)",shell scripts and config profiles,"notes,defender-for-cloud-and-endpoint"
