Question,Answer,Tags
Anomaly detection (visualize and analyze),a time-series analytic identifying outliers and offering explanations,"notes,visualize-and-analyze"
Analytics pane (visualize and analyze),"the pane adding reference, trend, and forecast lines to a visual","notes,visualize-and-analyze"
Personalize visuals (visualize and analyze),a setting letting consumers modify a visual without edit rights on the report,"notes,visualize-and-analyze"
Paginated report (visualize and analyze),"a pixel-perfect, printable report format suited to operational documents rather than exploration","notes,visualize-and-analyze"
Tab order (visualize and analyze),"the keyboard navigation sequence through visuals, set in the Selection pane","notes,visualize-and-analyze"
Row-level security (manage and secure),"roles are defined in Desktop, members are assigned in the service. Test as a Viewer.","notes,manage-and-secure"
Object-level security (manage and secure),hides tables and columns from a role.,"notes,manage-and-secure"
Workspace (manage and secure),"the collaboration container holding semantic models, reports, dashboards, and other Fabric items","notes,manage-and-secure"
Contributor (manage and secure),the workspace role that can create and edit content but cannot publish an app,"notes,manage-and-secure"
Viewer (manage and secure),"the workspace role limited to viewing and interacting, and the only role to which row-level security applies","notes,manage-and-secure"
App (manage and secure),"the packaged, governed distribution of workspace content to consumers, supporting multiple audiences","notes,manage-and-secure"
Audience (manage and secure),an app configuration presenting different content to different groups from a single app,"notes,manage-and-secure"
Premium Per User (manage and secure),the per-user license granting premium capabilities without dedicated capacity,"notes,manage-and-secure"
Deployment pipeline (manage and secure),"the Development, Test, and Production promotion mechanism for Power BI and Fabric content","notes,manage-and-secure"
Deployment rule (manage and secure),a pipeline configuration swapping data sources or parameters as content moves between stages,"notes,manage-and-secure"
Endorsement (manage and secure),"the Promoted or Certified trust signal applied to content, with Certified governed by tenant policy","notes,manage-and-secure"
Lineage view (manage and secure),the workspace visualization of dependencies from source through model to report,"notes,manage-and-secure"
Impact analysis (manage and secure),the report of downstream items affected by a change to a semantic model,"notes,manage-and-secure"
Publish to web (manage and secure),"the tenant setting that makes content publicly accessible on the internet, a common misconfiguration","notes,manage-and-secure"
Capacity metrics app (manage and secure),the monitoring application reporting Fabric or Premium capacity utilization and throttling,"notes,manage-and-secure"
