Question,Answer,Tags
Credential hygiene (workload identities and apps),"prefer managed identity, then federation, then certificate, then secret. Rotate and set short expiry. Alert on credentials nearing expiry rather than discovering it during an outage.","notes,workload-identities-and-apps"
Ownership and lifecycle (workload identities and apps),"applications need owners and periodic review, or they accumulate as orphaned identities holding permissions nobody remembers granting.","notes,workload-identities-and-apps"
Application registration (workload identities and apps),"the global definition of an application in its home tenant, holding redirect URIs, permissions, and credentials","notes,workload-identities-and-apps"
Service principal (workload identities and apps),"the local instance of an application in a tenant, holding consent grants, assignments, and SSO configuration","notes,workload-identities-and-apps"
Delegated permission (workload identities and apps),"a permission where the application acts on behalf of a signed-in user, limited to the intersection of app and user rights","notes,workload-identities-and-apps"
Application permission (workload identities and apps),"a permission where the application acts as itself with no user, always requiring admin consent","notes,workload-identities-and-apps"
Illicit consent grant (workload identities and apps),an attack where a user is tricked into consenting to a malicious application's permissions,"notes,workload-identities-and-apps"
Application Proxy (workload identities and apps),a service publishing on-premises web applications through Entra ID using an outbound connector,"notes,workload-identities-and-apps"
SCIM provisioning (workload identities and apps),standards-based automatic user provisioning and deprovisioning to SaaS applications,"notes,workload-identities-and-apps"
System-assigned managed identity (workload identities and apps),an identity created with and tied to the lifecycle of a single Azure resource,"notes,workload-identities-and-apps"
User-assigned managed identity (workload identities and apps),a standalone Azure resource identity that can be assigned to multiple resources,"notes,workload-identities-and-apps"
Workload identity federation (workload identities and apps),a trust configuration allowing external workloads to obtain Entra tokens without a stored secret,"notes,workload-identities-and-apps"
Conditional Access for workload identities (workload identities and apps),policies applying location and risk conditions to service principals rather than users,"notes,workload-identities-and-apps"
Separation of duties (identity governance),"an access package can be configured as incompatible with another package or group, blocking a request that would create a toxic combination","notes,identity-governance"
Reviewers (identity governance),"the resource owner, the group owner, selected users, the users themselves (self-review), or the manager","notes,identity-governance"
Frequency (identity governance),one-time or recurring,"notes,identity-governance"
Auto-apply results (identity governance),changes take effect automatically at the end,"notes,identity-governance"
If reviewers do not respond (identity governance),"no change, remove access, approve access, or take system recommendations. ""Remove access"" is the answer when the requirement says access must lapse without positive recertification","notes,identity-governance"
Decision helpers (identity governance),last sign-in information surfaced to reviewers,"notes,identity-governance"
Access package (identity governance),"a bundle of groups, applications, and sites offered through a request and approval workflow with an expiry","notes,identity-governance"
Catalog (identity governance),the entitlement management container that groups resources and delegates their administration,"notes,identity-governance"
Access review (identity governance),a recurring recertification of access with configurable reviewers and automatic application of results,"notes,identity-governance"
Lifecycle workflow (identity governance),"automated joiner, mover, and leaver tasks triggered by user attributes such as hire or leave date","notes,identity-governance"
Eligible assignment (identity governance),a PIM assignment allowing a user to activate a role rather than holding it permanently,"notes,identity-governance"
Activation (identity governance),"the PIM act of elevating into a role, optionally requiring MFA, justification, and approval","notes,identity-governance"
PIM for Groups (identity governance),"extending just-in-time activation to membership of a group, and therefore to everything the group grants","notes,identity-governance"
Terms of use (identity governance),a document enforced through Conditional Access that users must accept before access is granted,"notes,identity-governance"
Diagnostic settings (identity governance),"the configuration exporting Entra logs to Log Analytics, storage, or Event Hubs for retention and analysis","notes,identity-governance"
Permission Creep Index (identity governance),Permissions Management's measure of the gap between permissions granted and permissions used,"notes,identity-governance"
