Question,Answer,Tags
Trigger (compute containers),Azure Storage blob upload,"notes,compute-containers"
Messaging (compute containers),Service Bus or Event Hub,"notes,compute-containers"
Right-sizing (compute containers),Choose appropriate VM sizes,"notes,compute-containers"
Reserved Instances (compute containers),Commit to long-term usage,"notes,compute-containers"
Azure Hybrid Benefit (compute containers),Use existing licenses,"notes,compute-containers"
Spot Instances (compute containers),Use for fault-tolerant workloads,"notes,compute-containers"
Auto-shutdown (compute containers),Automatically stop dev/test VMs,"notes,compute-containers"
VMs (compute containers),Use B-series for variable workloads,"notes,compute-containers"
App Service (compute containers),Choose appropriate tier for needs,"notes,compute-containers"
Functions (compute containers),Optimize execution time and memory,"notes,compute-containers"
AKS (compute containers),Use spot node pools for batch workloads,"notes,compute-containers"
Container Instances (compute containers),Use for short-running tasks,"notes,compute-containers"
Metrics (compute containers),Performance and health data,"notes,compute-containers"
Logs (compute containers),Detailed operational data,"notes,compute-containers"
Alerts (compute containers),Proactive notifications,"notes,compute-containers"
Dashboards (compute containers),Visualization and reporting,"notes,compute-containers"
Application Insights (compute containers),Application performance monitoring,"notes,compute-containers"
Pre-configured (databases),"Fixed compute, storage, and I/O bundle","notes,databases"
Simple (databases),Easy to understand and provision,"notes,databases"
Limited scalability (databases),Predefined performance levels,"notes,databases"
Use case (databases),Simple applications with predictable workloads,"notes,databases"
Flexible (databases),Independently scale compute and storage,"notes,databases"
Granular control (databases),"Choose specific CPU, memory, storage","notes,databases"
Hybrid benefit (databases),Use existing SQL Server licenses,"notes,databases"
General Purpose (databases),Zone-redundant storage with automatic failover,"notes,databases"
Business Critical (databases),Always On availability groups with readable secondaries,"notes,databases"
Hyperscale (databases),Multiple replicas with fast failover,"notes,databases"
Transparent Data Encryption (TDE) (databases),Automatic encryption at rest,"notes,databases"
Always Encrypted (databases),Client-side encryption with key management,"notes,databases"
Dynamic Data Masking (databases),Obfuscate sensitive data for non-privileged users,"notes,databases"
Row Level Security (databases),Control access to rows based on user context,"notes,databases"
SQL Database Auditing (databases),Track database events and write to audit log,"notes,databases"
Single instance (databases),Dedicated managed instance,"notes,databases"
Instance pools (databases),Shared resources for smaller instances,"notes,databases"
SQL Managed Instance link (databases),Hybrid connectivity with on-premises,"notes,databases"
Zone-redundant high availability (databases),Cross-zone failover,"notes,databases"
Burstable compute (databases),Cost-effective for variable workloads,"notes,databases"
Custom maintenance windows (databases),Schedule maintenance,"notes,databases"
Enhanced monitoring (databases),Better metrics and alerts,"notes,databases"
Read replicas (databases),Scale read workloads,"notes,databases"
Automatic backups (databases),Point-in-time recovery,"notes,databases"
Performance recommendations (databases),Query optimization suggestions,"notes,databases"
Connection pooling (databases),Efficient connection management,"notes,databases"
Throughput currency (databases),All operations measured in RUs,"notes,databases"
Provisioned (databases),Reserve specific RU/s capacity,"notes,databases"
Serverless (databases),Pay per request (good for variable workloads),"notes,databases"
Autoscale (databases),Automatically scale between 10% and 100% of max RU/s,"notes,databases"
Redis clustering (databases),Scale beyond single node limits,"notes,databases"
Data persistence (databases),RDB and AOF persistence options,"notes,databases"
Virtual Network (databases),Deploy in your VNet,"notes,databases"
Geo-replication (databases),Replicate across regions,"notes,databases"
Massively Parallel Processing (MPP) (databases),Distribute queries across nodes,"notes,databases"
Distributions (databases),Data spread across 60 distributions,"notes,databases"
Compute nodes (databases),Process queries in parallel,"notes,databases"
Control node (databases),Orchestrates query execution,"notes,databases"
Client-side encryption (databases),Data encrypted before sending to database,"notes,databases"
Key management (databases),Keys stored in Key Vault or certificate store,"notes,databases"
Query limitations (databases),Limited operations on encrypted columns,"notes,databases"
Poor query design (databases),"Missing indexes, inefficient queries","notes,databases"
Wrong service tier (databases),Under or over-provisioned resources,"notes,databases"
Inadequate monitoring (databases),Not tracking performance metrics,"notes,databases"
Hot partitions (databases),Uneven data distribution in Cosmos DB,"notes,databases"
Weak authentication (databases),Using SQL authentication instead of Azure AD,"notes,databases"
Overly permissive access (databases),Granting excessive database permissions,"notes,databases"
Unencrypted connections (databases),Not enforcing SSL/TLS,"notes,databases"
Missing auditing (databases),No audit trail for database access,"notes,databases"
Default configurations (databases),Not customizing security settings,"notes,databases"
Insufficient backups (databases),Inadequate backup strategies,"notes,databases"
No disaster recovery (databases),Missing cross-region recovery planning,"notes,databases"
Poor monitoring (databases),Insufficient alerting and monitoring,"notes,databases"
Manual scaling (databases),Not implementing auto-scaling for variable workloads,"notes,databases"
Lack of documentation (databases),Poor documentation of database configurations,"notes,databases"
Over-provisioning (databases),Allocating more resources than needed,"notes,databases"
Wrong pricing model (databases),Not choosing optimal pricing options,"notes,databases"
Unused resources (databases),Idle databases consuming resources,"notes,databases"
Data retention (databases),Keeping data longer than necessary,"notes,databases"
Missing optimization (databases),Not using reserved capacity or discounts,"notes,databases"
Regional scope (networking),VNets exist within a single region,"notes,networking"
Address space (networking),Private IP address ranges (RFC 1918),"notes,networking"
Subnets (networking),Subdivisions of the VNet address space,"notes,networking"
Default connectivity (networking),Resources in same VNet can communicate,"notes,networking"
Isolated by default (networking),No internet access unless explicitly configured,"notes,networking"
x.x.x.0 (networking),Network address,"notes,networking"
x.x.x.1 (networking),Default gateway (Azure router),"notes,networking"
x.x.x.255 (networking),Network broadcast address,"notes,networking"
GatewaySubnet (networking),Required for VPN/ExpressRoute gateways,"notes,networking"
AzureFirewallSubnet (networking),Required for Azure Firewall,"notes,networking"
AzureBastionSubnet (networking),Required for Azure Bastion,"notes,networking"
RouteServerSubnet (networking),Required for Route Server,"notes,networking"
SQL Managed Instance (networking),Requires dedicated subnet,"notes,networking"
Azure NetApp Files (networking),Delegates subnet to service,"notes,networking"
Container Instances (networking),Enables VNet integration,"notes,networking"
App Service (networking),VNet integration for web apps,"notes,networking"
Internet (networking),All internet IP addresses,"notes,networking"
VirtualNetwork (networking),All VNet address space,"notes,networking"
AzureLoadBalancer (networking),Azure load balancer IPs,"notes,networking"
Storage (networking),Azure Storage IP ranges,"notes,networking"
Sql (networking),Azure SQL IP ranges,"notes,networking"
AzureActiveDirectory (networking),Azure AD IP ranges,"notes,networking"
Public (networking),Internet-facing with public IP,"notes,networking"
Internal (networking),Private IP within VNet,"notes,networking"
Cross-region (networking),Global load balancing,"notes,networking"
SSL termination (networking),Offload SSL processing,"notes,networking"
URL-based routing (networking),Route based on URL path,"notes,networking"
Multi-site hosting (networking),Host multiple websites,"notes,networking"
Web Application Firewall (networking),Built-in security protection,"notes,networking"
Auto-scaling (networking),Scale based on demand,"notes,networking"
Session affinity (networking),Cookie-based routing,"notes,networking"
Global load balancing (networking),Route to closest healthy backend,"notes,networking"
SSL offloading (networking),Terminate SSL at edge,"notes,networking"
URL rewrite/redirect (networking),Modify requests/responses,"notes,networking"
Latency-based (networking),Route to lowest latency backend,"notes,networking"
Priority (networking),Failover routing,"notes,networking"
Weighted (networking),Distribute traffic by percentage,"notes,networking"
Non-transitive (networking),Not routed through intermediate VNets,"notes,networking"
No gateways (networking),Direct connection between VNets,"notes,networking"
Bandwidth (networking),No bandwidth limitations,"notes,networking"
Cost (networking),Data transfer charges apply,"notes,networking"
CloudExchange Co-location (networking),Datacenter with provider presence,"notes,networking"
Point-to-point Ethernet (networking),Direct connection to provider,"notes,networking"
Any-to-any (IPVPN) (networking),Connect through MPLS network,"notes,networking"
ExpressRoute Direct (networking),Direct connection to Microsoft edge,"notes,networking"
Stateful firewall (networking),Track connection state,"notes,networking"
High availability (networking),Built-in high availability,"notes,networking"
Unrestricted cloud scalability (networking),Scale as needed,"notes,networking"
FQDN filtering (networking),Filter by fully qualified domain names,"notes,networking"
Network and application rules (networking),Layer 3-7 filtering,"notes,networking"
Threat intelligence (networking),Microsoft threat intelligence integration,"notes,networking"
Security policies (networking),Centralized rule management,"notes,networking"
Hub and spoke (networking),Manage multiple hubs,"notes,networking"
Third-party security (networking),Integrate partner solutions,"notes,networking"
No public IPs (networking),VMs don't need public IP addresses,"notes,networking"
SSL protection (networking),RDP/SSH over HTTPS,"notes,networking"
Azure portal integration (networking),Connect through web browser,"notes,networking"
No client software (networking),No VPN client or special software needed,"notes,networking"
Hardened service (networking),Microsoft-managed and hardened,"notes,networking"
Private IP (networking),Gets IP from your VNet,"notes,networking"
Secure connectivity (networking),Traffic stays on Microsoft backbone,"notes,networking"
Disable public access (networking),Optional public access disable,"notes,networking"
DNS integration (networking),Automatic private DNS zone creation,"notes,networking"
Databases (networking),"SQL Database, Cosmos DB, MySQL, PostgreSQL","notes,networking"
Platform services (networking),"Key Vault, Event Hub, Service Bus","notes,networking"
AI services (networking),"Cognitive Services, OpenAI","notes,networking"
VNet linking (networking),Link private zones to VNets,"notes,networking"
Auto-registration (networking),Automatically register VM records,"notes,networking"
Split-brain DNS (networking),Different records for internal/external,"notes,networking"
Topology (networking),Visualize network topology,"notes,networking"
Connection Monitor (networking),Monitor connectivity between endpoints,"notes,networking"
IP Flow Verify (networking),Check if traffic is allowed/denied,"notes,networking"
Next Hop (networking),Determine next hop for routing,"notes,networking"
VPN Diagnostics (networking),Troubleshoot VPN connectivity,"notes,networking"
Packet Capture (networking),Capture network traffic,"notes,networking"
NSG Flow Logs (networking),Log NSG rule decisions,"notes,networking"
Synthetic monitoring (networking),Proactive connectivity testing,"notes,networking"
Multi-hop topology (networking),Understand network paths,"notes,networking"
Performance metrics (networking),"Latency, packet loss, jitter","notes,networking"
Alerting (networking),Proactive issue detection,"notes,networking"
Users (security iam),"Individual identities (employees, contractors, partners)","notes,security-iam"
Groups (security iam),Collections of users for permission management,"notes,security-iam"
Applications (security iam),Software applications registered with Azure AD,"notes,security-iam"
Service Principals (security iam),Application identities for automation,"notes,security-iam"
Devices (security iam),Registered/joined devices for access control,"notes,security-iam"
Security Principal (security iam),"Who (user, group, service principal, managed identity)","notes,security-iam"
Role Definition (security iam),What permissions (actions that can be performed),"notes,security-iam"
Scope (security iam),"Where (subscription, resource group, resource)","notes,security-iam"
Role Assignment (security iam),Combination of principal + role + scope,"notes,security-iam"
Soft delete (security iam),Recover accidentally deleted objects,"notes,security-iam"
Purge protection (security iam),Prevent permanent deletion during retention period,"notes,security-iam"
Network access control (security iam),Restrict access by IP/VNet,"notes,security-iam"
Private endpoints (security iam),VNet-integrated access,"notes,security-iam"
Audit logging (security iam),Track all Key Vault operations,"notes,security-iam"
User/group membership (security iam),Who is accessing,"notes,security-iam"
Location (security iam),Where they're accessing from,"notes,security-iam"
Device (security iam),What device they're using,"notes,security-iam"
Application (security iam),What app they're accessing,"notes,security-iam"
Risk detection (security iam),Sign-in and user risk levels,"notes,security-iam"
Security posture management (security iam),Assess and improve security posture,"notes,security-iam"
Threat protection (security iam),Detect and respond to threats,"notes,security-iam"
Compliance assessment (security iam),Monitor regulatory compliance,"notes,security-iam"
Security recommendations (security iam),Actionable security guidance,"notes,security-iam"
Percentage-based (security iam),0-100% security score,"notes,security-iam"
Recommendations (security iam),Actionable items to improve score,"notes,security-iam"
Impact (security iam),Each recommendation shows score impact,"notes,security-iam"
Tracking (security iam),Monitor improvements over time,"notes,security-iam"
Data collection (security iam),Collect data from various sources,"notes,security-iam"
Detection (security iam),AI-powered threat detection,"notes,security-iam"
Investigation (security iam),Hunt for security threats,"notes,security-iam"
Response (security iam),Automate threat response,"notes,security-iam"
No public IPs (security iam),VMs don't need public IP addresses,"notes,security-iam"
Browser-based (security iam),RDP/SSH through Azure portal,"notes,security-iam"
No client software (security iam),No VPN or special software needed,"notes,security-iam"
Fully managed (security iam),Microsoft-managed service,"notes,security-iam"
Public (security iam),No business impact if shared,"notes,security-iam"
General (security iam),Minor business impact,"notes,security-iam"
Confidential (security iam),Moderate business impact,"notes,security-iam"
Highly Confidential (security iam),Severe business impact,"notes,security-iam"
Encrypt (security iam),Apply encryption to content,"notes,security-iam"
Watermark (security iam),Add visual watermarks,"notes,security-iam"
Access restrictions (security iam),Control who can access,"notes,security-iam"
Expiration (security iam),Set content expiration dates,"notes,security-iam"
Resource Groups (security iam),Organizational containers,"notes,security-iam"
ARM Templates (security iam),Infrastructure as code,"notes,security-iam"
Policy Assignments (security iam),Governance controls,"notes,security-iam"
Role Assignments (security iam),Access controls,"notes,security-iam"
SOC 1/2/3 (security iam),Service organization controls,"notes,security-iam"
ISO 27001 (security iam),Information security management,"notes,security-iam"
PCI DSS (security iam),Payment card industry standards,"notes,security-iam"
HIPAA (security iam),Healthcare data protection,"notes,security-iam"
GDPR (security iam),European data protection regulation,"notes,security-iam"
Over-privileged accounts (security iam),Granting excessive permissions,"notes,security-iam"
Shared accounts (security iam),Multiple people using same credentials,"notes,security-iam"
Weak authentication (security iam),Not enabling MFA,"notes,security-iam"
Stale accounts (security iam),Not removing access for former employees,"notes,security-iam"
Service account sprawl (security iam),Too many service accounts with unclear purposes,"notes,security-iam"
Overly permissive NSGs (security iam),Allowing unnecessary traffic,"notes,security-iam"
Public endpoints (security iam),Exposing services to internet unnecessarily,"notes,security-iam"
Missing monitoring (security iam),Not tracking network traffic,"notes,security-iam"
Weak segmentation (security iam),All resources in same network segment,"notes,security-iam"
Default configurations (security iam),Not customizing security settings,"notes,security-iam"
NOTE: deck truncated at 300 cards,84 further term-definition pairs exist in this cert's notes. Raise MAX_CARDS in .github/scripts/build-flashcards.py to include them.,meta
