Question,Answer,Tags
DLP policy (data loss prevention),"a rule set that inspects activity and blocks, warns, or audits when classified content crosses a boundary","notes,data-loss-prevention"
Policy tip (data loss prevention),the in-product notification shown to a user when their action matches a DLP rule,"notes,data-loss-prevention"
User override (data loss prevention),"a DLP setting allowing a user to proceed with a business justification, recorded in the incident report","notes,data-loss-prevention"
Test mode (data loss prevention),a DLP state that evaluates policy and records matches without affecting users,"notes,data-loss-prevention"
Endpoint DLP (data loss prevention),"the DLP location enforcing on onboarded devices, covering copy, print, USB, clipboard, and browser upload","notes,data-loss-prevention"
Device onboarding (data loss prevention),the prerequisite process registering a device so endpoint DLP and Defender for Endpoint can enforce,"notes,data-loss-prevention"
Unallowed browser (data loss prevention),"a browser that is not DLP-aware, whose uploads endpoint DLP blocks outright","notes,data-loss-prevention"
Service domain list (data loss prevention),the endpoint DLP allow or block list of destinations content may be uploaded to,"notes,data-loss-prevention"
Adaptive Protection (data loss prevention),the capability that raises DLP or Conditional Access strictness automatically as a user's insider risk level increases,"notes,data-loss-prevention"
Incident report (data loss prevention),"the record generated when a DLP rule matches, including the activity, content, and any justification","notes,data-loss-prevention"
Advanced classification (data loss prevention),endpoint DLP capability sending content to the service for evaluation beyond local classification,"notes,data-loss-prevention"
DLP for AI applications (data loss prevention),DLP coverage preventing classified content being processed by Copilot and other AI applications,"notes,data-loss-prevention"
Insider Risk Management (risks alerts and activities),"Purview solution scoring user behavior over time to detect data theft, leaks, and policy violations","notes,risks-alerts-and-activities"
Triggering event (risks alerts and activities),"the event, often an HR termination date, that opens an insider risk detection window for a user","notes,risks-alerts-and-activities"
Sequence detection (risks alerts and activities),insider risk capability identifying multi-step exfiltration patterns rather than isolated actions,"notes,risks-alerts-and-activities"
Username anonymization (risks alerts and activities),insider risk privacy control hiding user identities from analysts until a case is escalated,"notes,risks-alerts-and-activities"
Communication Compliance (risks alerts and activities),Purview solution reviewing message content against policy with a reviewer remediation workflow,"notes,risks-alerts-and-activities"
Information Barriers (risks alerts and activities),Purview capability preventing communication and discovery between defined user segments,"notes,risks-alerts-and-activities"
Segment (risks alerts and activities),an Information Barriers grouping of users defined by a directory attribute,"notes,risks-alerts-and-activities"
Purview Audit Premium (risks alerts and activities),"the audit tier adding longer retention, configurable retention policies, and high-value events such as MailItemsAccessed","notes,risks-alerts-and-activities"
Audit retention policy (risks alerts and activities),configuration keeping selected audit record types longer than the default period,"notes,risks-alerts-and-activities"
eDiscovery hold (risks alerts and activities),a legal hold preserving content in place without restricting access or altering classification,"notes,risks-alerts-and-activities"
Review set (risks alerts and activities),the eDiscovery Premium working collection where collected content is analyzed and reviewed,"notes,risks-alerts-and-activities"
Retention policy (risks alerts and activities),broad container-scoped retention that is invisible to end users,"notes,risks-alerts-and-activities"
Retention label (risks alerts and activities),"per-item retention supporting user application, auto-application, record declaration, and disposition review","notes,risks-alerts-and-activities"
Disposition review (risks alerts and activities),the approval step before content reaches the end of its retention period and is deleted,"notes,risks-alerts-and-activities"
Regulatory record (risks alerts and activities),a record declaration that cannot be unlocked or removed even by an administrator,"notes,risks-alerts-and-activities"
