Question,Answer,Tags
Forced tunneling (infrastructure security design),route table configuration sending all outbound traffic through an inspection appliance rather than directly to the internet,"notes,infrastructure-security-design"
Machine configuration (infrastructure security design),Azure Policy capability auditing and remediating settings inside the guest operating system,"notes,infrastructure-security-design"
Defender for IoT (infrastructure security design),agentless passive monitoring of OT and IoT networks through network sensors,"notes,infrastructure-security-design"
System-assigned (application and data security),"lifecycle tied to the resource, one-to-one. Use when the identity belongs to exactly one resource.","notes,application-and-data-security"
User-assigned (application and data security),"standalone resource, assignable to many. Use when several resources share an identity or when the identity must exist before the resource.","notes,application-and-data-security"
Defender for APIs (application and data security),"discovery of unmanaged and shadow APIs, sensitive data exposure detection, and runtime threat detection","notes,application-and-data-security"
Azure AI Content Safety (application and data security),"text and image moderation, plus Prompt Shields for direct (jailbreak) and indirect (document) prompt injection detection, and groundedness detection for hallucination","notes,application-and-data-security"
Purview DSPM for AI (application and data security),"discovery of sensitive data flowing through AI interactions, including Copilot","notes,application-and-data-security"
DLP for AI applications (application and data security),preventing sensitive content from being sent to or returned from AI apps,"notes,application-and-data-security"
Private networking for Azure OpenAI (application and data security),private endpoints and disabled public access,"notes,application-and-data-security"
CMK for Azure AI services (application and data security),customer-controlled encryption of stored data,"notes,application-and-data-security"
Defender for AI Services (application and data security),runtime detection signals for AI workloads,"notes,application-and-data-security"
Managed identity (application and data security),"an Entra ID identity Azure manages for a resource, removing stored credentials from application code","notes,application-and-data-security"
Workload identity federation (application and data security),trust configuration letting external workloads such as GitHub Actions obtain Entra tokens without a stored secret,"notes,application-and-data-security"
Sensitivity label (application and data security),"a Purview classification that applies protection traveling with the file, including encryption and access restriction","notes,application-and-data-security"
Auto-labeling (application and data security),Purview policy applying sensitivity labels automatically based on classifiers rather than user action,"notes,application-and-data-security"
Data loss prevention (application and data security),policy that inspects activity and blocks or warns when classified data crosses a defined boundary,"notes,application-and-data-security"
DSPM for AI (application and data security),Purview capability giving visibility into sensitive data touched by AI interactions,"notes,application-and-data-security"
Customer-managed key (application and data security),"an encryption key you control in Key Vault or Managed HSM, enabling revocation and crypto-shredding","notes,application-and-data-security"
Managed HSM (application and data security),"single-tenant, FIPS 140-2 Level 3 validated hardware security module service","notes,application-and-data-security"
Crypto-shredding (application and data security),rendering data unrecoverable by destroying the customer-managed key that protects it,"notes,application-and-data-security"
Always Encrypted (application and data security),"SQL feature keeping data encrypted from the database engine and privileged operators, with keys held by the client","notes,application-and-data-security"
Dynamic data masking (application and data security),"presentation-layer obfuscation of query results, not a security boundary","notes,application-and-data-security"
Row-level security (application and data security),SQL predicate-based restriction limiting which rows a given user context can read,"notes,application-and-data-security"
Prompt Shields (application and data security),Azure AI Content Safety capability detecting direct jailbreak and indirect document-based prompt injection,"notes,application-and-data-security"
Defender for DevOps (application and data security),"Defender for Cloud capability surfacing code, secret, and IaC findings from GitHub and Azure DevOps","notes,application-and-data-security"
